#V																			     
          0.02838801          1.00037000          1.00037000               0.02839100          0.99993624          0.00043376	 0.028391   1.00037   0.00086
          0.03015401          1.00039000          1.00039000               0.03015700          1.00000000          0.00039000	 0.030157   1.00039   0.00063
          0.03169301          0.99934000          0.99934000               0.03169600          1.00000000         -0.00066000	 0.031696   0.99934   0.00057
          0.03348701          1.00021000          1.00021000               0.03349000          1.00000000          0.00021000	 0.033490   1.00021   0.00037
          0.03515301          1.00018000          1.00018000               0.03515600          1.00000000          0.00018000	 0.035156   1.00018   0.00073
          0.03677901          1.00007000          1.00007000               0.03678200          1.00000000          0.00007000	 0.036782   1.00007   0.00051
          0.03846601          1.00007000          1.00007000               0.03846900          1.00000000          0.00007000	 0.038469   1.00007   0.00036
          0.04008401          0.99986000          0.99986000               0.04008700          1.00000000         -0.00014000	 0.040087   0.99986   0.00030
          0.04192601          0.99989000          0.99989000               0.04192900          1.00000000         -0.00011000	 0.041929   0.99989   0.00036
          0.04416101          0.99991000          0.99991000               0.04416400          1.00000000         -0.00009000	 0.044164   0.99991   0.00100
          0.04646401          1.00016000          1.00016000               0.04646700          1.00000000          0.00016000	 0.046467   1.00016   0.00061
          0.04826401          1.00022000          1.00022000               0.04826700          1.00000000          0.00022000	 0.048267   1.00022   0.00017
          0.05018101          1.00048000          1.00048000               0.05018400          1.00000000          0.00048000	 0.050184   1.00048   0.00046
          0.05187001          1.00004000          1.00004000               0.05187300          1.00000000          0.00004000	 0.051873   1.00004   0.00066
          0.05366101          1.00032000          1.00032000               0.05366400          1.00000000          0.00032000	 0.053664   1.00032   0.00048
          0.05522201          1.00053000          1.00053000               0.05522500          1.00000000          0.00053000	 0.055225   1.00053   0.00078
          0.05725101          0.99844000          0.99844000               0.05725400          1.00000000         -0.00156000	 0.057254   0.99844   0.00032
          0.05904301          1.00002000          1.00002000               0.05904600          1.00000000          0.00002000	 0.059046   1.00002   0.00030
          0.06087301          1.00060000          1.00060000               0.06087600          1.00000000          0.00060000	 0.060876   1.00060   0.00050
          0.06264801          1.00025000          1.00025000               0.06265100          1.00000000          0.00025000	 0.062651   1.00025   0.00029
          0.06427501          0.99977000          0.99977000               0.06427800          1.00000000         -0.00023000	 0.064278   0.99977   0.00063
          0.06594601          1.00022000          1.00022000               0.06594900          1.00000000          0.00022000	 0.065949   1.00022   0.00029
          0.06761301          0.99983000          0.99983000               0.06761600          1.00000000         -0.00017000	 0.067616   0.99983   0.00036
          0.06962401          1.00008000          1.00008000               0.06962700          1.00000000          0.00008000	 0.069627   1.00008   0.00057
          0.07196701          0.99924000          0.99924000               0.07197000          1.00000000         -0.00076000	 0.071970   0.99924   0.00060
          0.07513401          1.00083000          1.00083000               0.07513700          1.00000000          0.00083000	 0.075137   1.00083   0.00042
          0.07853001          0.99933000          0.99933000               0.07853300          1.00000000         -0.00067000	 0.078533   0.99933   0.00069
          0.08161601          0.99922000          0.99922000               0.08161900          1.00000000         -0.00078000	 0.081619   0.99922   0.00049
          0.08547001          1.00065000          1.00065000               0.08547300          1.00000000          0.00065000	 0.085473   1.00065   0.00098
          0.09017701          0.99977000          0.99977000               0.09018000          1.00000000         -0.00023000	 0.090180   0.99977   0.00056
          0.09721301          1.00039000          1.00039000               0.09721600          1.00000000          0.00039000	 0.097216   1.00039   0.00029
																			     
																			     
#Rc																			     
         -0.06549313          0.99877000          0.99877000              -0.06549800          1.00000000         -0.00123000	-0.065498   0.99877   0.00121
         -0.06246613          0.99975000          0.99975000              -0.06247100          1.00000000         -0.00025000	-0.062471   0.99975   0.00136
         -0.05992013          0.99946000          0.99946000              -0.05992500          1.00000000         -0.00054000	-0.059925   0.99946   0.00128
         -0.05735513          1.00011000          1.00011000              -0.05736000          1.00000000          0.00011000	-0.057360   1.00011   0.00128
