################################# NEW ################################################
#mjd#       #iA      #iB      #mjd#       #rA      #rB      #mjd#       #vA      #vB    
#mjd#       #iA      #        #mjd#       #rA      #        #mjd#       #vA      #
????????    ?????    ?????    54660.37    16.45    18.54    54660.37    16.74    19.03
????????    ?????    ?????    54660.38    16.46    18.51    54660.38    16.75    18.98
????????    ?????    ?????    54660.39    16.43    18.51    54660.39    16.73    18.99
????????    ?????    ?????    54674.35    16.47    18.47    54674.34    16.76    18.97
????????    ?????    ?????    ????????    ?????    ?????    54674.35    16.77    18.90
????????    ?????    ?????    ????????    ?????    ?????    54674.35    16.77    18.89
54675.39    16.26    18.07    54675.37    16.49    18.47    ????????    ?????    ?????
54675.39    16.26    18.05    ????????    ?????    ?????    ????????    ?????    ?????
54675.39    16.26    18.04    ????????    ?????    ?????    ????????    ?????    ?????
54677.38    16.28    18.07    ????????    ?????    ?????    54677.37    16.79    18.88
54677.39    16.28    18.07    ????????    ?????    ?????    54677.38    16.76    18.91
54677.39    16.28    18.09    ????????    ?????    ?????    54677.38    16.79    18.93
54681.37    16.33    18.17    54681.35    16.53    18.57    54681.34    16.77    18.93
54681.38    16.33    18.15    ????????    ?????    ?????    54681.35    16.76    18.91
54681.38    16.34    18.17    ????????    ?????    ?????    54681.35    16.78    18.94
????????    ?????    ?????    54708.29    16.51    18.54    ????????    ?????    ?????
????????    ?????    ?????    54729.33    16.42    18.46    54729.34    16.74    18.76
????????    ?????    ?????    54729.33    16.42    18.48    ????????    ?????    ?????
54730.30    16.31    18.22    ????????    ?????    ?????    ????????    ?????    ?????
54730.31    16.29    18.19    ????????    ?????    ?????    ????????    ?????    ?????
54730.31    16.31    18.24    ????????    ?????    ?????    ????????    ?????    ?????
                                
                                
55066.31    16.35    18.10    55066.32    16.57    18.53    55066.31    16.94    18.82
????????    ?????    ?????    55066.32    16.56    18.57    ????????    ?????    ?????
????????    ?????    ?????    55066.33    16.56    18.53    ????????    ?????    ?????
55067.39    16.28    18.10    55067.41    16.58    18.52    55067.40    16.85    18.98
????????    ?????    ?????    55067.41    16.58    18.54    ????????    ?????    ?????
????????    ?????    ?????    55067.41    16.57    18.56    ????????    ?????    ?????
55068.38    16.34    18.15    55068.40    16.62    18.58    55068.39    16.89    19.01
55068.38    16.35    18.19    55068.40    16.61    18.56    55068.39    16.90    19.01
55068.38    16.35    18.15    55068.40    16.61    18.59    55068.39    16.90    19.01
55070.34    16.36    18.15    55070.35    16.60    18.53    55070.35    16.90    19.03
????????    ?????    ?????    55070.36    16.59    18.52    55070.35    16.87    19.00
????????    ?????    ?????    55072.34    16.64    18.60    55072.32    16.95    19.05
????????    ?????    ?????    55072.34    16.65    18.61    55072.33    16.93    19.03
????????    ?????    ?????    ????????    ?????    ?????    55072.33    16.95    19.04
????????    ?????    ?????    55075.41    16.60    18.52    ????????    ?????    ?????
55087.33    16.30    18.11    55087.32    16.59    18.56    55087.31    16.86    18.99
55087.33    16.32    18.11    ????????    ?????    ?????    55087.31    16.85    19.04
55088.29    16.30    18.11    55088.28    16.55    18.54    55088.28    16.83    18.96
55088.30    16.31    18.13    55088.29    16.55    18.54    ????????    ?????    ?????
????????    ?????    ?????    55088.29    16.56    18.54    ????????    ?????    ?????
55090.33    16.37    18.13    ????????    ?????    ?????    55090.31    16.89    18.97
55090.33    16.35    18.13    ????????    ?????    ?????    ????????    ?????    ?????
????????    ?????    ?????    ????????    ?????    ?????    55092.30    16.86    18.99
????????    ?????    ?????    ????????    ?????    ?????    55092.31    16.88    18.96
????????    ?????    ?????    ????????    ?????    ?????    55092.31    16.85    18.99


????????    ?????    ?????    ????????    ?????    ?????    55359.41    16.81    19.01
????????    ?????    ?????    ????????    ?????    ?????    55362.41    16.82    18.95
????????    ?????    ?????    ????????    ?????    ?????    55362.41    16.82    18.97
????????    ?????    ?????    55364.43    16.57    18.51    ????????    ?????    ?????
????????    ?????    ?????    55378.40    16.51    18.55    55386.40    16.83    18.98
????????    ?????    ?????    ????????    ?????    ?????    55386.40    16.86    18.98
????????    ?????    ?????    ????????    ?????    ?????    55386.40    16.83    18.99
????????    ?????    ?????    55388.38    16.55    18.54    ????????    ?????    ?????
????????    ?????    ?????    55388.38    16.55    18.53    ????????    ?????    ?????
????????    ?????    ?????    55388.39    16.56    18.54    ????????    ?????    ?????
????????    ?????    ?????    55388.39    16.51    18.54    ????????    ?????    ?????
????????    ?????    ?????    55388.39    16.52    18.53    ????????    ?????    ?????
????????    ?????    ?????    55388.40    16.50    18.52    ????????    ?????    ?????
????????    ?????    ?????    55390.38    16.54    18.55    55390.38    16.84    18.91
????????    ?????    ?????    55390.38    16.54    18.54    55390.38    16.83    18.94
????????    ?????    ?????    55390.39    16.54    18.53    ????????    ?????    ?????
????????    ?????    ?????    55392.36    16.55    18.50    55392.37    16.85    18.97
????????    ?????    ?????    55392.36    16.55    18.50    55392.37    16.84    18.94
????????    ?????    ?????    55392.37    16.56    18.49    ????????    ?????    ?????
????????    ?????    ?????    55399.41    16.55    18.55    55399.43    16.84    18.98
????????    ?????    ?????    ????????    ?????    ?????    55400.40    16.84    18.97
????????    ?????    ?????    ????????    ?????    ?????    55400.41    16.83    18.98
????????    ?????    ?????    55401.40    16.53    18.54    ????????    ?????    ?????
